Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
Total time = 346.168000
         233408533 function calls (232510377 primitive calls) in 371.927 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   477810    0.202    0.000    0.505    0.000 core.py:407(ndim)
     3452    0.021    0.000    0.501    0.000 computation.py:897(apply_ufunc)
      863    0.005    0.000    0.500    0.001 multi.py:474(from_arrays)
      217    0.001    0.000    0.492    0.002 __init__.py:811(read_text)
      215    0.000    0.000    0.492    0.002 __init__.py:469(entry_points)
1795418/1795238    0.370    0.000    0.492    0.000 {built-in method builtins.getattr}
      217    0.000    0.000    0.489    0.002 pathlib.py:1022(read_text)
    16395    0.046    0.000    0.486    0.000 alignment.py:515(_get_indexes_and_vars)
    26754    0.151    0.000    0.486    0.000 base.py:2313(is_unique)
3167/3048    0.036    0.000    0.479    0.000 {built-in method builtins.__build_class__}
695470/695462    0.210    0.000    0.475    0.000 {built-in method _abc._abc_instancecheck}
    25890    0.023    0.000    0.471    0.000 base.py:5437(_can_hold_identifiers_and_holds_name)
     8211    0.054    0.000    0.471    0.000 patches.py:746(get_patch_transform)
        1    0.000    0.000    0.467    0.467 pyarrow.py:1(<module>)
        5    0.000    0.000    0.466    0.093 image.py:1531(imsave)
   814402    0.189    0.000    0.461    0.000 core.py:449(shape)
      863    0.004    0.000    0.460    0.001 categorical.py:3048(factorize_from_iterables)
     2589    0.002    0.000    0.456    0.000 categorical.py:3069(<genexpr>)
     1727    0.016    0.000    0.455    0.000 construction.py:423(dict_to_mgr)
        5    0.000    0.000    0.455    0.091 Image.py:2376(save)
     1726    0.009    0.000    0.454    0.000 categorical.py:3005(factorize_from_iterable)
    18420    0.096    0.000    0.444    0.000 common.py:278(__getattr__)
    33667    0.032    0.000    0.444    0.000 base.py:7593(ensure_index)
850895/850484    0.142    0.000    0.442    0.000 {built-in method builtins.hasattr}
     1726    0.023    0.000    0.434    0.000 categorical.py:371(__init__)
    43/40    0.000    0.000    0.431    0.011 core.py:1135(parse_string)
  148/145    0.000    0.000    0.430    0.003 util.py:251(_inner)
  1196/40    0.003    0.000    0.429    0.011 core.py:811(_parseNoCache)
   363/40    0.001    0.000    0.428    0.011 core.py:3994(parseImpl)
   982/32    0.003    0.000    0.427    0.013 core.py:962(_parseCache)
61264/31193    0.203    0.000    0.426    0.000 transforms.py:2431(get_affine)
    16157    0.012    0.000    0.425    0.000 axis.py:1700(update_units)
    14670    0.034    0.000    0.418    0.000 merge.py:494(_get_priority_vars_and_indexes)
32322/16159    0.106    0.000    0.413    0.000 units.py:164(get_converter)
1782/1761    0.002    0.000    0.407    0.000 __init__.py:73(import_module)
      148    0.405    0.003    0.405    0.003 {built-in method posix.listdir}
1782/1761    0.001    0.000    0.404    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
        2    0.000    0.000    0.398    0.199 array.py:1(<module>)
    12945    0.007    0.000    0.389    0.000 base.py:6679(_maybe_cast_listlike_indexer)
    14671    0.013    0.000    0.388    0.000 frame.py:1496(items)
        1    0.000    0.000    0.383    0.383 rcsetup.py:1(<module>)
     1726    0.003    0.000    0.383    0.000 range.py:917(insert)
    12945    0.089    0.000    0.382    0.000 indexing.py:882(_outer_to_vectorized_indexer)
     3452    0.028    0.000    0.381    0.000 computation.py:276(apply_dataarray_vfunc)
      135    0.001    0.000    0.377    0.003 <frozen importlib._bootstrap_external>:1644(_fill_cache)
63940/47631    0.030    0.000    0.377    0.000 deprecation.py:289(wrapper)
    16193    0.027    0.000    0.376    0.000 transforms.py:1472(transform)
        1    0.000    0.000    0.374    0.374 frame.py:1(<module>)
   118/82    0.000    0.000    0.373    0.005 <frozen importlib._bootstrap_external>:1295(exec_module)
    20712    0.027    0.000    0.373    0.000 multi.py:1322(__contains__)
   118/82    0.050    0.000    0.373    0.005 {built-in method _imp.exec_dynamic}
     6907    0.025    0.000    0.372    0.000 dataarray.py:4711(_binary_op)
    12954    0.029    0.000    0.371    0.000 frame.py:4626(_get_item_cache)
    16395    0.054    0.000    0.365    0.000 alignment.py:276(find_matching_unindexed_dims)
        1    0.000    0.000    0.363    0.363 __config__.py:1(<module>)
        1    0.000    0.000    0.362    0.362 assertions.py:1(<module>)
       16    0.000    0.000    0.358    0.022 axis.py:2358(_update_label_position)
    90/75    0.000    0.000    0.353    0.005 core.py:4930(parseImpl)
    77/73    0.000    0.000    0.352    0.005 core.py:5040(parseImpl)
     8059    0.020    0.000    0.349    0.000 transforms.py:1400(contains_branch_seperately)
    12945    0.055    0.000    0.348    0.000 indexing.py:1341(_masked_result_drop_slice)
    19845    0.100    0.000    0.347    0.000 merge.py:340(append_all)
       34    0.000    0.000    0.346    0.010 axis.py:2599(_update_label_position)
856344/838224    0.332    0.000    0.344    0.000 common.py:307(__setattr__)
    20712    0.020    0.000    0.343    0.000 multi.py:2982(get_loc)
     8056    0.209    0.000    0.343    0.000 colors.py:701(__call__)
        4    0.000    0.000    0.342    0.086 config.py:1(<module>)
        3    0.000    0.000    0.342    0.114 _mathtext.py:2151(parse)
    41/24    0.000    0.000    0.341    0.014 core.py:289(wrapper)
     1062    0.001    0.000    0.338    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
    50920    0.098    0.000    0.337    0.000 dataset.py:1081(_construct_direct)
   124273    0.079    0.000    0.332    0.000 {method 'update' of 'set' objects}
        4    0.009    0.002    0.331    0.083 _base.py:4306(get_default_bbox_extra_artists)
     1726    0.004    0.000    0.330    0.000 common.py:424(clip)
   466106    0.134    0.000    0.329    0.000 generic.py:42(_instancecheck)
     8059    0.013    0.000    0.321    0.000 transforms.py:1381(contains_branch)
     6928    0.025    0.000    0.318    0.000 artist.py:860(_fully_clipped_to_axes)
    50629    0.074    0.000    0.318    0.000 dataset.py:1109(_replace)
    16395    0.128    0.000    0.316    0.000 alignment.py:383(align_indexes)
   363038    0.088    0.000    0.315    0.000 indexing.py:1683(shape)
     8259    0.012    0.000    0.314    0.000 artist.py:1001(set_alpha)
    44885    0.112    0.000    0.311    0.000 base.py:3777(get_loc)
    12954    0.023    0.000    0.310    0.000 frame.py:3983(_ixs)
      166    0.006    0.000    0.308    0.002 axis.py:1270(_update_ticks)
    38820    0.165    0.000    0.304    0.000 dtypes.py:169(result_type)
    20712    0.030    0.000    0.304    0.000 multi.py:3308(_get_level_indexer)
    12945    0.135    0.000    0.304    0.000 function_base.py:5369(insert)
        1    0.000    0.000    0.302    0.302 profile.py:1(<module>)
     1148    0.005    0.000    0.301    0.000 font_manager.py:1233(findfont)
        1    0.000    0.000    0.298    0.298 colorbar.py:1(<module>)
    12945    0.034    0.000    0.296    0.000 frame.py:5242(_sanitize_column)
    27617    0.113    0.000    0.295    0.000 base.py:842(_engine)
   111032    0.172    0.000    0.293    0.000 indexes.py:1481(_id_coord_names)
       99    0.001    0.000    0.293    0.003 _mathtext.py:373(_get_info)
    14670    0.053    0.000    0.291    0.000 merge.py:421(determine_coords)
    16193    0.011    0.000    0.289    0.000 transforms.py:2406(transform_affine)
      164    0.000    0.000    0.287    0.002 _mathtext.py:261(get_metrics)
