pmax,ws
0.25025000000000003,1.666666666666667e-06
0.25025000000000003,2.5000000000000015e-06
0.25025000000000003,3.333333333333334e-06
0.25025000000000003,4.166666666666667e-06
0.25025000000000003,5.000000000000001e-06
0.25025000000000003,5.833333333333336e-06
0.25025000000000003,6.666666666666667e-06
0.25025000000000003,7.500000000000001e-06
0.25025000000000003,8.333333333333335e-06
0.25025000000000003,9.16666666666667e-06
0.25025000000000003,1e-05
0.27106250000000004,-1e-05
0.27106250000000004,-9.166666666666668e-06
0.27106250000000004,-8.333333333333334e-06
0.27106250000000004,-7.500000000000001e-06
0.27106250000000004,-6.666666666666667e-06
0.27106250000000004,-5.833333333333334e-06
0.27106250000000004,-5e-06
0.27106250000000004,-4.166666666666667e-06
0.27106250000000004,-3.3333333333333333e-06
0.27106250000000004,-2.4999999999999998e-06
0.27106250000000004,-1.666666666666667e-06
0.27106250000000004,-8.333333333333327e-07
0.27106250000000004,0.0
0.27106250000000004,8.333333333333344e-07
0.27106250000000004,1.666666666666667e-06
0.27106250000000004,2.5000000000000015e-06
0.27106250000000004,3.333333333333334e-06
0.27106250000000004,4.166666666666667e-06
0.27106250000000004,5.000000000000001e-06
